 ,Area,Mean,Min,Max
1,104.428,95.933,0,200
2,51.829,88.592,5,196
3,112.591,69.709,0,182
4,47.668,49.371,0,164
5,104.503,81.666,0,206
6,57.280,41.951,0,159
