 ,Area,Mean,Min,Max
1,97.020,69.518,3,175
2,92.611,72.806,8,177
3,100.850,84.483,7,196
4,184.326,74.854,11,192
5,62.719,81.674,15,180
6,123.313,76.018,19,197
7,212.239,75.324,11,204
8,194.850,71.861,6,193
9,88.490,77.694,6,234
10,141.450,76.610,9,183
