 ,Area,Mean,Min,Max
1,74.059,95.200,18,213
2,131.787,84.611,12,198
3,176.629,75.263,13,197
4,58.140,83.465,4,185
5,130.132,74.495,1,179
6,176.844,66.607,2,165
7,277.029,80.342,18,233
8,107.562,83.769,12,181
9,67.220,88.607,15,171
