 ,Area,Mean,Min,Max
1,83.866,114.616,8,218
2,49.758,110.041,6,225
3,73.632,117.007,0,202
4,43.103,86.932,0,164
5,81.745,84.432,0,175
6,48.988,70.341,0,163
