 ,Area,Mean,Min,Max
1,122.322,49.833,0,178
2,67.293,46.653,0,197
3,60.688,54.848,0,192
4,146.537,70.921,1,199
5,66.398,41.363,0,188
6,127.611,44.989,0,163
