 ,Area,Mean,Min,Max
1,94.672,144.986,1,219
2,41.133,149.007,19,210
3,93.826,138.223,11,226
4,52.923,135.171,1,223
5,91.260,127.223,0,212
6,63.920,100.426,0,254
